`id`,`url`,`name`,`description`,`domain`
7189065,https://api.github.com/repos/Voxer/iSPDY,ispdy,SPDY client for OS X and iOS,
7190023,https://api.github.com/repos/staticapps/staticapps.org,staticapps.org,The source for the official StaticApps.org resource site.,
7198962,https://api.github.com/repos/Phoul/yara_rules,yara_rules,
7199692,https://api.github.com/repos/yunspace/chef-repo,chef-repo,A blank Chef repository - use as a base to build your own,
7212462,https://api.github.com/repos/go-lang-plugin-org/go-lang-idea-plugin,go-lang-idea-plugin,Google Go language IDE built using the Intellij Platform. Released both an integrated IDE and as a standalone Intellij IDEA plugin,
7215130,https://api.github.com/repos/beatfactor/nightwatch,nightwatch,UI automated testing framework based on node.js and selenium webdriver,
7222746,https://api.github.com/repos/Boris-Em/BEMSimpleLineGraph,BEMSimpleLineGraph,iOS library to create simple line graphs/charts (charting library).,
7228519,https://api.github.com/repos/badges/shields,shields,Shields.io specification, website and primary issue base,
7240106,https://api.github.com/repos/Trinea/android-open-project,android-open-project,Collect and classify android open source projects Œ_¨ŠÀÁŒÉÂŠ_ÑŒá•__codekk,
7249970,https://api.github.com/repos/amasad/debugjs.com,debugjs.com,Debug your JavaScript in the browser,
7258997,https://api.github.com/repos/eueln/ItemChests,ItemChests,ItemChests,
7259889,https://api.github.com/repos/ZackAlfakir/web,web,Chantilly Team 612's code website,
7260288,https://api.github.com/repos/travisjeffery/ClangFormat-Xcode,ClangFormat-Xcode,Xcode plug-in to to use clang-format from in Xcode and consistently format your code with Clang,
7266288,https://api.github.com/repos/ngbp/ngbp,ngbp,A sophisticated build management system for web apps (formerly ng-boilerplate). Created by @joshdmiller,
7276482,https://api.github.com/repos/cloudlocal/chosen,chosen,Chosen is a library for making long, unwieldy select boxes more friendly.,
7294438,https://api.github.com/repos/BrowserSync/gulp-browser-sync,gulp-browser-sync,How to use the BrowserSync module with gulp.,
7304063,https://api.github.com/repos/dlew/joda-time-android,joda-time-android,Joda-Time library with Android specialization,
7305150,https://api.github.com/repos/NateWr/simple-admin-pages,simple-admin-pages,A small wrapper for the WordPress settings API,
7306369,https://api.github.com/repos/thoughtbot/NSString-TBEncryption,NSString-TBEncryption,Tiny CocoaPod for NSString Encryption methods,
7306673,https://api.github.com/repos/HubSpot/shepherd,shepherd,Guide your users through a tour of your app #hubspot-open-source,
7308213,https://api.github.com/repos/insidegui/GRGlassWindow,GRGlassWindow,A NSWindow subclass with a beautiful glass-like title bar,
7326980,https://api.github.com/repos/nfroidure/gulp-iconfont,gulp-iconfont,Create icon fonts from several SVG icons,
7344511,https://api.github.com/repos/langerma/icinga-plugins,icinga-plugins,My ugly icinga plugins,
7361572,https://api.github.com/repos/sindresorhus/grunt-strip-debug,grunt-strip-debug,Strip console, alert, and debugger statements from JavaScript code,
7383416,https://api.github.com/repos/tj/node-delegates,node-delegates,Nodejs method and accessor delegation utility,
7412153,https://api.github.com/repos/macieks/Tiny2D,Tiny2D,An extremely easy to use, yet powerful, 2D game library.,
7420900,https://api.github.com/repos/neumino/rethinkdbdash,rethinkdbdash,Attempt for a faster node driver for RethinkDB,
7432562,https://api.github.com/repos/khaledhosny/ots,ots,
7461031,https://api.github.com/repos/openssh/openssh-portable,openssh-portable,Portable OpenSSH,
7489584,https://api.github.com/repos/Laverna/laverna,laverna,Open source alternative to evernote,
7504851,https://api.github.com/repos/jeffknupp/bull,bull,Bull always charges!,
7537997,https://api.github.com/repos/rdpeng/courses,courses,Course materials for the Data Science Specialization: https://www.coursera.org/specialization/jhudatascience/1,
7553911,https://api.github.com/repos/paroxp/Misago,Misago,Misago is fully featured forum application standing on shoulders of Django.,
7556976,https://api.github.com/repos/RomainPiel/Michelangelo,Michelangelo,Tiny android library to quickly inject a layout in your compound view,
7570729,https://api.github.com/repos/JakeWharton/u2020,u2020,A sample Android app which showcases advanced usage of Dagger among other open source libraries.,
7607012,https://api.github.com/repos/Raizlabs/RZTransitions,RZTransitions,A library of custom iOS View Controller Animations and Interactions.,
7617634,https://api.github.com/repos/afup/barometre,barometre,site public pour le baromÌ¬tre des salaires,
7623896,https://api.github.com/repos/magiteker/Bushido_Rush,Bushido_Rush,Android Game,
7645899,https://api.github.com/repos/docker-linux/kali,kali,Kali base box,
7654253,https://api.github.com/repos/Raizlabs/RZCellSizeManager,RZCellSizeManager,Dynamic size computation and caching for cells.,
7658667,https://api.github.com/repos/post72/php-node,php-node,Use PHP files in node, as Express view engine,
7666955,https://api.github.com/repos/morrisjs/morris.js,morris.js,Pretty time-series line graphs,
7722836,https://api.github.com/repos/splinesoft/SSBuild,SSBuild,A build script for continuous integration of iOS apps.,
7732133,https://api.github.com/repos/oxdi/vagrant-nixos,vagrant-nixos,Vagrant plugin to add nixos guest capabilities and nix provisioning,
7738640,https://api.github.com/repos/OpenTechFund/secure-email,secure-email,
7751311,https://api.github.com/repos/tmuxinator/tmuxinator,tmuxinator,Manage complex tmux sessions easily,
7753732,https://api.github.com/repos/systemjs/systemjs,systemjs,Universal dynamic module loader,
7769665,https://api.github.com/repos/ubolonton/js-csp,js-csp,CSP channels for Javascript (like Clojurescript's core.async, or Go),
7808122,https://api.github.com/repos/nadangergeo/RWD-Table-Patterns,RWD-Table-Patterns,Experimental table structure and behavior patterns based on progressive enhancement and responsive web design.,
7810452,https://api.github.com/repos/basecamp/pow,pow,Zero-configuration Rack server for Mac OS X,
7811703,https://api.github.com/repos/sindresorhus/gulp-plugin-boilerplate,gulp-plugin-boilerplate,Boilerplate to kickstart creating gulp plugins,
7835118,https://api.github.com/repos/sindresorhus/pageres,pageres,Capture website screenshots,
7846270,https://api.github.com/repos/hopegates/iesframework,iesframework,
7883108,https://api.github.com/repos/vasyabigi/angular-nouislider,angular-nouislider,Simple angular directive for jquery nouislider plugin,
7883561,https://api.github.com/repos/mruby/mruby.github.io,mruby.github.io,mruby - Embedded Ruby,
7890973,https://api.github.com/repos/NitikaAgarwal/cpython,cpython,Semi-official read-only mirror of the CPython Mercurial repository,
7924929,https://api.github.com/repos/SimonWaldherr/golang-examples,golang-examples,Go(lang) examples - (explain the basics of golang),
7940296,https://api.github.com/repos/iTyran/SK_CardGameServer,SK_CardGameServer,
7952993,https://api.github.com/repos/RichardWarburton/honest-profiler,honest-profiler,A sampling JVM profiler without the safepoint sample bias,
7980702,https://api.github.com/repos/andreis/interview,interview,Interview resources for SE candidates,
7990763,https://api.github.com/repos/treejames/Tracker,Tracker,Tracker,
8012811,https://api.github.com/repos/krasimir/techy,techy,A flat file CMS based on Gulp and AbsurdJS,
8017772,https://api.github.com/repos/boot2docker/boot2docker,boot2docker,Lightweight Linux for Docker,
8091268,https://api.github.com/repos/eljojo/learning-group,learning-group,Examples for my Ruby / Rails learning group,
8117762,https://api.github.com/repos/Kapeli/cheatset,cheatset,Generate cheat sheets for Dash,
8117944,https://api.github.com/repos/gerra/Java,Java,
8125526,https://api.github.com/repos/boot2docker/osx-installer,osx-installer,Docker installer for Mac OS X,
8137228,https://api.github.com/repos/deanishe/alfred-workflow,alfred-workflow,Helper library for writing Alfred 2 workflows in Python,
8142691,https://api.github.com/repos/tomkowz/TSAssetsPickerController,TSAssetsPickerController,Highly customizable control used to select multiple assets (saved photos and videos) for use in your app.,
8162617,https://api.github.com/repos/emmby/ormlite-android-extras,ormlite-android-extras,ORMLite Extras for Android,
8169424,https://api.github.com/repos/btmills/GeoPattern,GeoPattern,Built on jasonlong/geo_pattern,
8170478,https://api.github.com/repos/LambertoD/curriculum,curriculum,The open curriculum for learning web development,
8194675,https://api.github.com/repos/ChaplinWang/ReloadablePropertiesAnnotation,ReloadablePropertiesAnnotation,Dynamic property configurations reload during runtime utilising Java 7 WatchService API, Google Guava and Spring 3.1,
8228397,https://api.github.com/repos/mumusan/dotnetex,dotnetex,Gets size of .Net Framework objects, can change type of object to incompatible and can alloc .Net objects at unmanaged memory area,
8270641,https://api.github.com/repos/mobing/gperftools,gperftools,tcmalloc,
8296041,https://api.github.com/repos/MrS0m30n3/youtube-dl-gui,youtube-dl-gui,A cross platform front-end GUI of the popular youtube-dl written in Python.,
8313244,https://api.github.com/repos/philippine-devnet/laravel-starter,laravel-starter,Command to generate all the necessary files for laravel,
8339162,https://api.github.com/repos/mattt/Navajo,Navajo,
8339915,https://api.github.com/repos/phire/hackdriver,hackdriver,A hacky userspace v3d driver for the raspberry pi.,
8346508,https://api.github.com/repos/alexpell00/RcDawsonWebsite,RcDawsonWebsite,a single page sexy website for rc dawson.,
8387817,https://api.github.com/repos/iSECPartners/yontma-mac,yontma-mac,You'll Never Take Me Alive!,
8390641,https://api.github.com/repos/signaleleven/PMGS,PMGS,Poor man's ground system,
8404580,https://api.github.com/repos/ZIJ/svg-path,svg-path,Chainable SVG path string generator with some sugar added,
8405131,https://api.github.com/repos/segmentio/metalsmith,metalsmith,An extremely simple, pluggable static site generator.,
8416517,https://api.github.com/repos/chamikabm/incubator-spark,incubator-spark,Mirror of Apache Spark,
8427119,https://api.github.com/repos/mmin18/Dex65536,Dex65536,Solve the issue with dalvik compiler limitation on 65536 methods (Unable to execute dex: method ID not in [0, 0xffff]: 65536),
8450572,https://api.github.com/repos/40a/site,site,Devops deflope podcast site,
8475145,https://api.github.com/repos/hozwe/Ejecta,Ejecta,A Fast, Open Source JavaScript, Canvas & Audio Implementation for iOS,
8485455,https://api.github.com/repos/ncornette/Python-Markdown-Editor,Python-Markdown-Editor,Standalone editor for your markdown files,
8515356,https://api.github.com/repos/EmilS/2048-multiplayer,2048-multiplayer,Give it a try here:,
8532385,https://api.github.com/repos/kylestetz/lissajous,lissajous,A tool for programmatic audio performance in the browser using Javascript.,
8532554,https://api.github.com/repos/wymsee/cordova-HTTP,cordova-HTTP,Cordova / Phonegap plugin for communicating with HTTP servers.  Allows for SSL pinning!,
8566806,https://api.github.com/repos/chukong/EarthWarrior3D,EarthWarrior3D,
8576259,https://api.github.com/repos/uber/npm-shrinkwrap,npm-shrinkwrap,A consistent shrinkwrap tool,
8596480,https://api.github.com/repos/7ouma/CrunchyManga,CrunchyManga,Download Manga from crunchyroll,
8634501,https://api.github.com/repos/github/training-kit,training-kit,Open source slides, workbook, and cheat sheet courseware for teaching GitHub classes,
8670482,https://api.github.com/repos/inedu/frameTalk,frameTalk,
8688328,https://api.github.com/repos/mono/website,website,Mono's web site.,
8732866,https://api.github.com/repos/Lallo/gitignore,gitignore,A collection of useful .gitignore templates,
8734343,https://api.github.com/repos/ribot/easy-adapter,easy-adapter,Easy Adapters library for Android,
8742938,https://api.github.com/repos/sesmar/CIS450_Program2,CIS450_Program2,
8758294,https://api.github.com/repos/amitmojumder/jQuery-Mobile-Bootstrap-Theme,jQuery-Mobile-Bootstrap-Theme,A jQuery Mobile theme based on Bootstrap,
8769923,https://api.github.com/repos/amadvance/tommyds,tommyds,A C library of hashtables and tries designed to store objects with high performance,
8772689,https://api.github.com/repos/tzolov/vagrant-pivotalhd,vagrant-pivotalhd,Use Vagrant and Ambari Blueprint API to install PivotalHD 3.0 (or Hortonworks HDP2.x) Hadoop cluster with HAWQ 1.3 (SQL on Hadoop) and Spring XD 1.2,
8776028,https://api.github.com/repos/MatthewYork/DateTools,DateTools,Dates and time made easy in Objective-C,
8784767,https://api.github.com/repos/AshFurrow/ARCollectionViewMasonryLayout,ARCollectionViewMasonryLayout,
8789813,https://api.github.com/repos/mgcolburn/cpuemulator,cpuemulator,A Java program to illustrate CPU scheduling. Written for my Operating Systems class with one of my classmates.,
8817056,https://api.github.com/repos/RobertOrmandi/caffe,caffe,Caffe,
8818018,https://api.github.com/repos/mozilla/nunjucks,nunjucks,A powerful templating engine with inheritance, asynchronous control, and more (jinja2 inspired),
8837968,https://api.github.com/repos/MemoryB/ruby_fundamentals2,ruby_fundamentals2,
8847632,https://api.github.com/repos/match08/TLFControlSprite,TLFControlSprite,Starling TLFControlSprite: ŒÝ_¾Ðà¾áá¾_Õ•_ÎStarling_ãŒÝ_¾Ðà¾áá¾_Õ±È•__,
8854423,https://api.github.com/repos/natj/toolbox,toolbox,Small tools and snippets that I happen to use with julia,
8875437,https://api.github.com/repos/dzenbot/DZNWebViewController,DZNWebViewController,A simple iPhone/iPad web browser.,
8875464,https://api.github.com/repos/sipwise/rtpengine,rtpengine,The Sipwise media proxy for Kamailio,
8905797,https://api.github.com/repos/go-martini/martini,martini,Classy web framework for Go,
8906917,https://api.github.com/repos/jaredsinclair/JTSImageViewController,JTSImageViewController,An interactive iOS image viewer that does it all: double tap to zoom, flick to dismiss, et cetera.,
8913435,https://api.github.com/repos/tbridge/munki-in-a-box,munki-in-a-box,A Quick Setup and Fill Repository for Munki with AutoPKG,
8939716,https://api.github.com/repos/CenturyLinkLabs/building,building,Build a Docker container for any app using Heroku Buildpacks,
8944249,https://api.github.com/repos/samlt/ipv6toolkit,ipv6toolkit,SI6 Networks' IPv6 Toolkit,
8984199,https://api.github.com/repos/HarlanSim/304userinterface,304userinterface,
9026379,https://api.github.com/repos/donnellyk/KVNMaskedPageControl,KVNMaskedPageControl,A drop-in replacement for UIPageControl that allows seamless transition between different dot styles, one for each page, using a masking effect.,
9041360,https://api.github.com/repos/leonidche/isotope,isotope,Filter & sort magical layouts,
9051214,https://api.github.com/repos/zz85/crayon.js,crayon.js,Node-based Shader Library for Three.js,
9062615,https://api.github.com/repos/eneldoserrata/ProxyPoS,ProxyPoS,ProsyPoS to use as a driver for PoS devices to use with OpenERP,
9078570,https://api.github.com/repos/rubbercitywizards/KeyGrip,KeyGrip,A slick presentation tool. A remote pasteboard management tool with presentation notes for iOS and Mac.,
9095732,https://api.github.com/repos/BiftorSources/device_samsung_t0lteatt,device_samsung_t0lteatt,Galaxy Note 2 ATT,
9121894,https://api.github.com/repos/tc39/ecma262,ecma262,Status, process, and documents for ECMA262,
9139436,https://api.github.com/repos/alexfish/git-tips,git-tips,Some quick git tips,
9152395,https://api.github.com/repos/cubicdaiya/ngx_http_fizzbuzz_module,ngx_http_fizzbuzz_module,FizzBuzz with Nginx,
9160279,https://api.github.com/repos/Grishu/ImageEffects,ImageEffects,Apply effects on image.,
9232309,https://api.github.com/repos/aantonop/bitcoinbook,bitcoinbook,Mastering Bitcoin - Unlocking digital currencies - Early Release Draft,
9240557,https://api.github.com/repos/rhyselsmore/log-metrics,log-metrics,Python l2met Logger,
9245754,https://api.github.com/repos/patxi1980/Core,Core,OpenTribes Core module: Provides basic routes for registration/authentification and some other scripts,
9255018,https://api.github.com/repos/district10/gitbook,gitbook,Command line utility for generating books and exercises using GitHub/Git and Markdown,
9268752,https://api.github.com/repos/PostmonAPI/postmon,postmon,Uma API para consulta de informaÌ¤Ìµes relacionadas a endereÌ¤amento e entrega no Brasil.,
9282939,https://api.github.com/repos/metafizzy/isotope,isotope,Filter & sort magical layouts,
9343717,https://api.github.com/repos/todesking/ruby_hl_lvar.vim,ruby_hl_lvar.vim,Highlight Ruby local variables,
9344074,https://api.github.com/repos/RexOps/Rex,Rex,A framework for server orchestration and to simplify system administration,
9346606,https://api.github.com/repos/SPLURGE831/platform-samples,platform-samples,A public place for all platform sample projects.,
9352549,https://api.github.com/repos/paypal/gatt,gatt,Gatt is a Go package for building Bluetooth Low Energy peripherals,
9356105,https://api.github.com/repos/strategist922/statistical-analysis-python-tutorial,statistical-analysis-python-tutorial,Statistical Data Analysis in Python,
9358405,https://api.github.com/repos/njs50/select2-bootstrap-css,select2-bootstrap-css,simple css to make select2 widgets fit in with bootstrap,
9380376,https://api.github.com/repos/rodrigoPOO/escalonador,escalonador,escalonador,
9382176,https://api.github.com/repos/TeamEOS/device_moto_wingray,device_moto_wingray,
9392393,https://api.github.com/repos/frederik-jacques/TNSexyImageUploadProgress,TNSexyImageUploadProgress,An easy image upload visualiser for Objective-C,
9394397,https://api.github.com/repos/gotomypc/Amazon-to-Shelfari-Link,Amazon-to-Shelfari-Link,This is a chrome extention to add a link on Amazon.com to the corresponding Shelfari page.,
9400432,https://api.github.com/repos/ethereum/ethereumjs-lib,ethereumjs-lib,
9464549,https://api.github.com/repos/gwaereth/_virtual1,_virtual1,
9468307,https://api.github.com/repos/mariusciocan/parse-cloud-debugger,parse-cloud-debugger,Local proxy of Parse.com cloud used for debuging cloud code !,
9478333,https://api.github.com/repos/asm-products/buckets,buckets,Manage content better.,
9504109,https://api.github.com/repos/packetbeat/dashboards,dashboards,Kibana dashboards for network monitoring,
9511165,https://api.github.com/repos/houqp/shell.py,shell.py,shell power for python,
9540082,https://api.github.com/repos/gregneagle/Xcode5CocoaPythonTemplates,Xcode5CocoaPythonTemplates,A set of Xcode 5 project and file templates for development using Cocoa and Python.,
9570005,https://api.github.com/repos/steipete/Aspects,Aspects,Delightful, simple library for aspect oriented programming.,
9589511,https://api.github.com/repos/keltstr/file-upload-action,file-upload-action,Action for file uploads handling.,
9597076,https://api.github.com/repos/mrmaffen/vlc-android-sdk,vlc-android-sdk,VLC Android SDK with rtmp support and stripped away plugins to optimize size. Primarily used in project tomahawk-android.,
9599053,https://api.github.com/repos/imclab/Cachet.js,Cachet.js,Local Storage Made Betterer,
9600790,https://api.github.com/repos/loxodes/SuperDARN_Sabre_Mod,SuperDARN_Sabre_Mod,Python code to generate .nec files to simulate a log-periodic dipole array.,
9626183,https://api.github.com/repos/atom/atom,atom,The hackable text editor,
9650960,https://api.github.com/repos/android-cn/android-dev-cn,android-dev-cn,Some Chinese Android Developers Information,
9658872,https://api.github.com/repos/aspnet/Mvc,Mvc,
9659919,https://api.github.com/repos/monoclesociety/eggscellent,eggscellent,
9664486,https://api.github.com/repos/rspec-given/rspec-given,rspec-given,Given/When/Then keywords for RSpec Specifications,
9677139,https://api.github.com/repos/loveholidays/select2,select2,Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results.,
9687174,https://api.github.com/repos/facebookarchive/phpsh,phpsh,A read-eval-print-loop for php,
9701410,https://api.github.com/repos/fackius/fackius.github.io,fackius.github.io,Facu's Public Content,
9701695,https://api.github.com/repos/coresmart/persistencejs,persistencejs,persistence.js is an asynchronous Javascript database mapper library. You can use it in the browser, as well on the server (and you can share data models between them).,
9703605,https://api.github.com/repos/firecat53/nmcli-dmenu,nmcli-dmenu,Control NetworkManager via dmenu,
9704915,https://api.github.com/repos/infinity0/msg-notes,msg-notes,Notes relating to secure messaging,
9706049,https://api.github.com/repos/odoo/odoo,odoo,Odoo (formerly OpenERP). Open Source Business Apps.,
9709068,https://api.github.com/repos/deepakkarki/pruspeak,pruspeak,BotSpeak interpreter for the BeagleBone Black's PRU,
9709116,https://api.github.com/repos/dwightwatson/validating,validating,Laravel 4.2 model validation trait,
9717218,https://api.github.com/repos/Yawning/obfs4,obfs4,The obfourscator (Develpment mirror),
9726637,https://api.github.com/repos/finscn/The-Best-JS-Game-Framework,The-Best-JS-Game-Framework,This is the best javascript game framework on the earth.,
9727940,https://api.github.com/repos/mozilla/metrics-graphics,metrics-graphics,A set of simple extensible graphs / primitives for various Mozilla dashboards and monitors.,
9745677,https://api.github.com/repos/josex2r/jQuery-SlotMachine,jQuery-SlotMachine,Makes Slot Machine effect in your html!,
9755937,https://api.github.com/repos/salsita/chrome-extension-skeleton,chrome-extension-skeleton,Minimal skeleton for Chrome extension,
9777067,https://api.github.com/repos/webhhh/webhhh.github.com,webhhh.github.com,ŒÉ_¾_¬WEBŒ¨äŒÉ¬,
9814221,https://api.github.com/repos/rorym/Squidivisim,Squidivisim,Squidivisim is a wearable electronics project based on the concept of pattern based communication observed in some species of cephalopod.,
9817959,https://api.github.com/repos/dlukashev/AndroidSlidingUpPanel,AndroidSlidingUpPanel,AndroidSlidingUpPanel modification for Foursquare-like map support with ListView,
9843828,https://api.github.com/repos/morefreeze/morefreeze.github.io,morefreeze.github.io,
9862004,https://api.github.com/repos/Automattic/socket.io-client,socket.io-client,Sockets for the rest of us,
9865676,https://api.github.com/repos/xitrum-framework/xitrum-demos,xitrum-demos,Demos for Xitrum,
9866862,https://api.github.com/repos/takahikouchida/examples,examples,examples,
9877090,https://api.github.com/repos/medien-dresden/comprot-webservice,comprot-webservice,COMPROT Web-Service,
9893161,https://api.github.com/repos/steprescott/SCPCoreBluetoothManager,SCPCoreBluetoothManager,Block based wrapper around the Core Bluetooth framework.,
9895007,https://api.github.com/repos/gdpancheng/LoonAndroid,LoonAndroid, ¾¥«Šü»¾Á ¾_¦Œ_ŠüŒÎŠ¼_androidannotations•_ÎRoboguice_äioc¾Á ¾_¦•_ÎÀª¾÷øŠüÛŠü»±ÈŠ__spring_ãŒ¨__¡¾Ð_Œ_‹ÛâŒÏ¬¾¥«Œ¼ÓÓ¬_ãÓÙŒÔ_ŒÔ¬¾ÏÙŠü_¾ä_Œö¡ŒöàŒÉ´â_•_Îã¦Œ_Œø_activity_ãÓÙŒÔ_ŒÔ¬¾ÏÙÀÝÁÎ¾Ü_¾ö»•_Îã¦Œ_¾ÕŒÉ´à»Œá±_ãŒ_ÙÄ_‹Ûâ,
9906217,https://api.github.com/repos/phacility/phabricator,phabricator,Open software engineering platform and fun adventure game,
9908329,https://api.github.com/repos/Flipboard/FLAnimatedImage,FLAnimatedImage,Performant animated GIF engine for iOS,
9912292,https://api.github.com/repos/truevault/hipaa-compliance-developers-guide,hipaa-compliance-developers-guide,A developers guide to HIPAA compliance and application development.,
9930325,https://api.github.com/repos/shyamseshadri/angularjs-up-and-running,angularjs-up-and-running,All the source code for the AngularJS Up & Running Book for O'Reilly,
9931815,https://api.github.com/repos/openstack/python-barbicanclient,python-barbicanclient,Client library for Barbican API.,
9961002,https://api.github.com/repos/runtimejs/runtime,runtime,V8 JavaScript kernel,
9975034,https://api.github.com/repos/jeremypeters/ng-bs-animated-button,ng-bs-animated-button,Angular/Bootstrap animated submit button directive,
9982219,https://api.github.com/repos/rossriley/capistrano-docker,capistrano-docker,Deploy apps to a structured Docker Host,
9983686,https://api.github.com/repos/tylergaw/icon-stamper,icon-stamper,A Sketch Plugin for creating multiple sizes of iOS icons,
9995314,https://api.github.com/repos/tristanoneil/dotfiles,dotfiles,
10053600,https://api.github.com/repos/pocketjoso/penthouse,penthouse,Critical Path CSS Generator,
10060643,https://api.github.com/repos/savvot/yii2,yii2,Yii 2 framework main development repo,
10066441,https://api.github.com/repos/npm-dom/siblings,siblings,get siblings for an element, optionally filtered by a selector,
10084609,https://api.github.com/repos/resolvable/resolvable,resolvable,Fetching Scala objects from multiple endpoints,
10084678,https://api.github.com/repos/sass/libsass,libsass,A C/C++ implementation of a Sass compiler,
10123492,https://api.github.com/repos/shrukul/android_device_samsung_delos3geur,android_device_samsung_delos3geur,CyanogenMod 11 Device Tree for Samsung Galaxy Win / Grand Quattro GT-I8552,
10125352,https://api.github.com/repos/lifetyper/FreeRouter,FreeRouter,ŒÙ¼Š¼_AutoddVPN_ã,ŽÛâÓ¬Š¼_DD_WRTŒÕÎOpenWRT_ãÀÈŒ¢ªáøÓ±¾Ð_¾Áö,
10128842,https://api.github.com/repos/thedaddyfob/thedaddyfob.github.io,thedaddyfob.github.io,
10138664,https://api.github.com/repos/sloria/pypi-cli,pypi-cli,A command-line interface to the Python Package Index (PyPI). Get package info, download statistics, and more.,
10172252,https://api.github.com/repos/javihgil/doctrine-utils-bundle,doctrine-utils-bundle,
10172529,https://api.github.com/repos/MacGapProject/MacGap1,MacGap1,Desktop WebKit wrapper for HTML/CSS/JS applications.,
10188194,https://api.github.com/repos/mephux/komanda,komanda,
10192555,https://api.github.com/repos/coslyk/moonplayer,moonplayer,Video player that can play online videos from youku, tudou etc.,
10196307,https://api.github.com/repos/linux-test-project/lcov,lcov,LCOV,
10199826,https://api.github.com/repos/iw3hxn/LibrERP,LibrERP,
10233169,https://api.github.com/repos/antoniolg/DaggerExample,DaggerExample,Android project using Dagger library,
10258995,https://api.github.com/repos/javachen/scrapy-zhihu-github,scrapy-zhihu-github,scrapy demo for zhihu and github,
10260310,https://api.github.com/repos/hapicky/server-sandbox,server-sandbox,
10260382,https://api.github.com/repos/wulfebw/mergevec,mergevec,Program used to merge .vec files for use in openCV's opencv_traincascade,
10280298,https://api.github.com/repos/greatagent/greatagent,greatagent,
10281182,https://api.github.com/repos/GrizRun/Example,Example,
10281816,https://api.github.com/repos/sylgas/laravel-test,laravel-test,
10282819,https://api.github.com/repos/jay0lee/got-your-back,got-your-back,Got Your Back (GYB) is a command line tool for backing up your Gmail messages to your local computer. It uses the standard IMAP protocol but also takes advantage of some custom Gmail IMAP extensions.,
10296656,https://api.github.com/repos/Vestorly/torii,torii,A set of clean abstractions for authentication in Ember.js,
10301817,https://api.github.com/repos/lotus/lotus,lotus,A Ruby MVC web framework,
10358518,https://api.github.com/repos/neoid-gem/neoid,neoid,Extend Ruby on Rails ActiveRecord with Neo4j nodes. Keep RDBMS and utilize the power of Neo4j queries,
10377821,https://api.github.com/repos/DatabaseCleaner/database_cleaner,database_cleaner,Strategies for cleaning databases in Ruby.  Can be used to ensure a clean state for testing.,
10379711,https://api.github.com/repos/peco/peco,peco,Simplistic interactive filtering tool,
10388177,https://api.github.com/repos/jsonresume/resume-schema,resume-schema,Standard, Specification, Schema,
10396798,https://api.github.com/repos/aerospike/aerospike-server,aerospike-server,Aerospike Database Server,
10410843,https://api.github.com/repos/willyg302/clip.py,clip.py,Embeddable, composable [c]ommand [l]ine [i]nterface [p]arsing,
10412281,https://api.github.com/repos/uranusjr/macdown,macdown,Open source Markdown editor for OS X.,
10425716,https://api.github.com/repos/daimajia/AndroidViewAnimations,AndroidViewAnimations,
10432015,https://api.github.com/repos/Talend/tbd-studio-se,tbd-studio-se,Studio open source projects related to Big Data,
10435441,https://api.github.com/repos/android-cn/android-open-project-analysis,android-open-project-analysis,Analysis of android open source project, include usage and implementation,
10435922,https://api.github.com/repos/iltercengiz/ICViewPager,ICViewPager,A tab view that mimics ActionBarSherlock's FragmentsTabsPager and Google Play app's tab management.,
10447564,https://api.github.com/repos/ShingoFukuyama/emacs-readability,emacs-readability,Readability for Emacs,
10451754,https://api.github.com/repos/0xAX/go-algorithms,go-algorithms,Implementation of different alghoritms in golang,
10464490,https://api.github.com/repos/lexrus/LTMorphingLabel,LTMorphingLabel,
10473430,https://api.github.com/repos/hyperaudio/hyperaudio-lib,hyperaudio-lib,Contains modules that will be useful as part of a hyperaudio.js library, used by developers to create applications.,
10512042,https://api.github.com/repos/richpl/procs,procs,Artificial life simulator,
10520061,https://api.github.com/repos/pycontribs/jira,jira,
10521722,https://api.github.com/repos/sparkle-project/Sparkle,Sparkle,A software update framework for OS X,
10526188,https://api.github.com/repos/jwiegley/hnix,hnix,
10528918,https://api.github.com/repos/brian020305/sample_smishing,sample_smishing,Fucking Simishing test,
10541844,https://api.github.com/repos/ananth99/sample_app,sample_app,Sample app,
10548198,https://api.github.com/repos/urbanairship/tessera,tessera,A dashboard front-end for graphite.  ,
10555368,https://api.github.com/repos/develnext/develnext,develnext,RAD Studio for PHP,
10574931,https://api.github.com/repos/hr-14-15/resources,resources,JavaScript resources for and by HR 14 & 15,
10576004,https://api.github.com/repos/angular/material,material,Material design for Angular,
10585250,https://api.github.com/repos/japgolly/scalajs-react,scalajs-react,A guilty affair between Scala.js and Facebook's React.,
10589306,https://api.github.com/repos/o19s/solr_nginx,solr_nginx,Starter Reverse Proxy Configuration for Solr,
10631290,https://api.github.com/repos/expressjs/express-resource,express-resource,Resourceful routing for Express,
10660095,https://api.github.com/repos/pavankris/PKImagePickerDemo,PKImagePickerDemo,Replacement for ImagePicker which also combines camera and album,
10732476,https://api.github.com/repos/thijskh/saml2,saml2,SimpleSAMLphp low-level SAML2 PHP library,
10733538,https://api.github.com/repos/tstat/chef-git_ssh_wrapper,chef-git_ssh_wrapper,Generate a key and wrapper for the deploy resource's ssh_wrapper attribute,
10741429,https://api.github.com/repos/jnordstrom90/Wendler,Wendler,Wendlerized application,
